"VGC id","Name","Platform","Notes","Cart","Box","Manual","Other","Purchased Price","Purchased Date","Added",
"51708","Manhunt 2","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 13:18:07",
"66208","Mario & Sonic at the London 2012 Olympic Games","Nintendo 3DS [EU]","","No","No","No","No","","0000-00-00","2024-05-10 08:06:39",
"62948","Mario & Sonic at the Olympic Games [DK][FI][NO][SE]","Wii [EU]","","No","No","No","No","","0000-00-00","2015-04-13 14:25:48",
"169552","Mario & Sonic at the Olympic Games Tokyo 2020","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2023-06-26 10:38:36",
"62904","Mario & Sonic at the Olympic Winter Games","Wii [EU]","","No","No","No","No","","0000-00-00","2015-04-13 14:25:48",
"107028","Mario & Sonic at the Rio 2016 Olympic Games","Wii U [EU]","","No","No","No","No","","0000-00-00","2022-03-10 09:17:44",
"64630","Mario & Sonic at the Winter Olympic Games: Sochi 2014","Wii U [EU]","","No","No","No","No","","0000-00-00","2022-03-10 09:17:48",
"104606","Mario & Sonic nos Jogos Olimpicos de Londres 2012","Wii [EU]","","No","No","No","No","","0000-00-00","2020-10-24 11:03:52",
"206649","Mario + Rabbids Sparks of Hope","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2024-03-06 16:47:30",
"127119","Mario + Rabbids: Kingdom Battle","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2024-09-05 10:24:02",
"117938","Mario Kart 8 Deluxe","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2023-06-22 17:29:44",
"54553","Mario Strikers Charged Football","Wii [EU]","","No","No","No","No","","0000-00-00","2019-10-17 10:06:22",
"119419","Marvel's Spider-Man","PlayStation 4 [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2019-12-08 10:28:15",
"28082","Mass Effect","Xbox 360 [EU]","","Yes","Yes","Yes","Yes","","0000-00-00","2016-10-26 07:41:24",
"28085","Mass Effect 2","Xbox 360 [EU]","","No","No","No","No","","0000-00-00","2021-02-23 09:37:18",
"225474","Matterfall","PlayStation 4 [EU]","","Yes","Yes","Yes","Yes","","0000-00-00","2023-12-04 12:46:55",
"69522","Max Payne","Xbox [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 18:04:01",
"33609","Max Payne - Platinum","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 17:33:09",
"64255","Max Payne 2: The Fall of Max Payne","Xbox [EU]","","No","No","No","No","","0000-00-00","2015-04-12 15:17:26",
"81994","Max Payne 3 - Special Edition","Xbox 360 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 14:17:31",
"37081","Medal of Honor: Frontline","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 17:34:19",
"67494","Medieval Moves","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2021-11-07 11:54:19",
"139611","MediEvil","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2020-04-17 14:44:34",
"41639","MediEvil - Platinum [DE]","PlayStation [EU]","","No","No","No","No","","0000-00-00","2015-04-15 10:15:52",
"78433","MediEvil 2 - Platinum","PlayStation [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 10:16:50",
"69466","MediEvil: Resurrection","PlayStation Portable [EU]","","No","No","No","No","","0000-00-00","2021-04-11 06:07:55",
"49646","Mega Bomberman","Sega Mega Drive [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 18:02:06",
"44585","Mega Games 6 vol.3","Sega Mega Drive [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 18:02:15",
"62215","Metal Gear Acid","PlayStation Portable [EU]","","No","No","No","No","","0000-00-00","2018-11-24 11:51:50",
"181441","Metal Gear Acid 2","PlayStation Portable [EU]","","No","No","No","No","","0000-00-00","2023-09-02 10:38:42",
