Index,Jogo,Consola
333,LittleBIGPlanet Karting,PlayStation 3 [EU]
334,LocoRoco,PlayStation Portable [EU]
335,LocoRoco 2,PlayStation Portable [EU]
336,Lollipop Chainsaw,Xbox 360 [EU]
337,Looney Tunes Racing,PlayStation [EU]
338,Lord of Arcana - Slayer Edition,PlayStation Portable [EU]
339,Lost Judgment,PlayStation 5 [EU]
340,Lost Odyssey [DK][FI][NO][SE],Xbox 360 [EU]
341,Lost Planet: Extreme Condition - Limited Edition,Xbox 360 [EU]
342,Luigi’s Mansion 2 HD,Nintendo Switch [EU]
343,MadWorld,Wii [EU]
344,Mafia Trilogy,PlayStation 4 [EU]
345,Magic Made Fun,Nintendo DS [EU]
346,Majin and the Forsaken Kingdom,Xbox 360 [EU]
347,Manhunt,PlayStation 2 [EU]
348,Manhunt 2,PlayStation 2 [EU]
349,Mario & Sonic at the London 2012 Olympic Games,Nintendo 3DS [EU]
350,Mario & Sonic at the Olympic Games [DK][FI][NO][SE],Wii [EU]
351,Mario & Sonic at the Olympic Games Tokyo 2020,Nintendo Switch [EU]
352,Mario & Sonic at the Olympic Winter Games,Wii [EU]
353,Mario & Sonic at the Rio 2016 Olympic Games,Wii U [EU]
354,Mario & Sonic at the Winter Olympic Games: Sochi 2014,Wii U [EU]
355,Mario & Sonic nos Jogos Olimpicos de Londres 2012,Wii [EU]
356,Mario + Rabbids Sparks of Hope,Nintendo Switch [EU]
357,Mario + Rabbids: Kingdom Battle,Nintendo Switch [EU]
358,Mario Kart 8 Deluxe,Nintendo Switch [EU]
359,Mario Strikers Charged Football,Wii [EU]
360,Marvel's Spider-Man,PlayStation 4 [EU]
361,Mass Effect,Xbox 360 [EU]
362,Mass Effect 2,Xbox 360 [EU]
363,Matterfall,PlayStation 4 [EU]
364,Max Payne,Xbox [EU]
365,Max Payne - Platinum,PlayStation 2 [EU]
366,Max Payne 2: The Fall of Max Payne,Xbox [EU]
367,Max Payne 3 - Special Edition,Xbox 360 [EU]
368,Medal of Honor: Frontline,PlayStation 2 [EU]
369,Medieval Moves,PlayStation 3 [EU]
370,MediEvil,PlayStation 4 [EU]
371,MediEvil - Platinum [DE],PlayStation [EU]
372,MediEvil 2 - Platinum,PlayStation [EU]
373,MediEvil: Resurrection,PlayStation Portable [EU]
374,Mega Bomberman,Sega Mega Drive [EU]
375,Mega Games 6 vol.3,Sega Mega Drive [EU]
376,Metal Gear Acid,PlayStation Portable [EU]
377,Metal Gear Acid 2,PlayStation Portable [EU]
378,Metal Gear Rising: Revengeance,PlayStation 3 [EU]
379,Metal Gear Solid - Platinum,PlayStation [EU]
380,Metal Gear Solid 2: Sons of Liberty [NL],PlayStation 2 [EU]
381,Metal Gear Solid 2: Substance - Ultimate Collector's Edition,PlayStation 2 [EU]
382,Metal Gear Solid 3: Snake Eater [UK],PlayStation 2 [EU]
383,Metal Gear Solid 3: Subsistence,PlayStation 2 [EU]
384,Metal Gear Solid 4: Guns of the Patriots - 25th Anniversary Edition,PlayStation 3 [EU]
385,Metal Gear Solid 4: Guns of the Patriots - Limited Edition,PlayStation 3 [EU]
386,Metal Gear Solid HD Collection - Limited Edition,PlayStation 3 [EU]
387,Metal Gear Solid V: Ground Zeroes,PlayStation 3 [EU]
388,Metal Gear Solid V: The Phantom Pain - Collector's Edition,PlayStation 4 [EU]
389,Metal Gear Solid V: The Phantom Pain - Day One Edition,PlayStation 4 [EU]
390,Metal Gear Solid: Peace Walker,PlayStation Portable [EU]
391,Metal Gear Solid: Portable Ops,PlayStation Portable [EU]
392,Metal Gear Solid: Special Missions,PlayStation [EU]
393,Metal Slug 3,Xbox Games Store (X360) [EU]
394,Metroid Fusion,Game Boy Advance [EU]
395,Metroid Prime Remastered,Nintendo Switch [EU]
396,Mirror's Edge,Xbox 360 [EU]
397,Mirror's Edge Catalyst,PlayStation 4 [EU]
398,"Misadventures of Tron Bonne, The",PlayStation [EU]
399,Mission: Impossible: Operation Surma,PlayStation 2 [EU]
400,ModNation Racers,PlayStation 3 [EU]
401,Mortal Kombat: Komplete Edition,PlayStation 3 [EU]
402,MotorStorm,PlayStation 3 [EU]
403,MotorStorm: Apocalypse,PlayStation 3 [EU]
404,MotorStorm: Pacific Rift,PlayStation 3 [EU]
405,Ms. Pac-Man,Sega Master System [EU]
406,Ms. Splosion Man,Xbox Games Store (X360) [EU]
407,MSR: Metropolis Street Racer,Sega Dreamcast [EU]
408,Naruto Shippuden: Ultimate Ninja 4,PlayStation 2 [EU]
409,Naruto Shippuden: Ultimate Ninja 5,PlayStation 2 [EU]
410,Naruto Shippuden: Ultimate Ninja Storm 2,PlayStation 3 [EU]
411,Naruto Ultimate Ninja Storm [FI][SE][PT],PlayStation 3 [EU]
412,Naruto: Ultimate Ninja,PlayStation 2 [EU]
413,Naruto: Ultimate Ninja 2,PlayStation 2 [EU]
414,Naruto: Ultimate Ninja 3,PlayStation 2 [EU]
415,Naruto: Uzumaki Chronicles 2,PlayStation 2 [EU]
416,NBA 2K10,Xbox 360 [EU]
417,NBA Jam: Tournament Edition,Sega Mega Drive [EU]
418,Need for Speed Underground - Platinum,PlayStation 2 [EU]
419,Need for Speed Underground 2,PlayStation 2 [EU]
420,New Super Lucky's Tale,PlayStation 4 [EU]
421,New Super Mario Bros. U Deluxe,Nintendo Switch [EU]
422,Ni no Kuni II: Revenant Kingdom,PlayStation 4 [EU]
423,Ni no Kuni: Wrath of the White Witch,PlayStation 3 [EU]
424,NieR: Automata,PlayStation 4 [EU]
425,Nights into Dreams...,Sega Saturn [EU]
426,Nights: Journey of Dreams,Wii [EU]
427,Nightshade,PlayStation 2 [EU]
428,Ninja Blade,Xbox 360 [EU]
429,Ninja Gaiden,Xbox [EU]
430,Ninja Gaiden II [UK],Xbox 360 [EU]
431,Nioh,PlayStation 4 [EU]
432,Nioh 2,PlayStation 4 [EU]
433,No More Heroes,Wii [EU]
434,Odin Sphere,PlayStation 2 [EU]
435,Okami,PlayStation 2 [EU]
436,"Order, The: 1886",PlayStation 4 [EU]
437,Ori and the Blind Forest - Definitive Edition,Nintendo Switch [EU]
438,Ori and the Will of the Wisps,Nintendo Switch [EU]
439,Otogi 2: Immortal Warriors,Xbox [EU]
440,Otogi: Myth of Demons,Xbox [EU]
441,OutRun 2006: Coast 2 Coast,PlayStation 2 [EU]
442,P.N.03,GameCube [EU]
443,Pac-Man Championship Edition DX,Xbox Games Store (X360) [EU]
444,Patapon,PlayStation Portable [EU]
445,Perfect Dark Zero - Limited Collector's Edition,Xbox 360 [EU]
446,Persona 5 Royal,PlayStation 4 [EU]
447,Pikmin 1 + 2,Nintendo Switch [EU]
448,Pikmin 4,Nintendo Switch [EU]
449,"Plague Tale, A: Innocence",PlayStation 4 [EU]
450,Planet Ring (Free Exclusive Software),Sega Dreamcast [EU]
451,PlayStation All-Stars Battle Royale,PlayStation 3 [EU]
452,PlayStation Move Heroes [UK],PlayStation 3 [EU]
453,PlayStation Move: Starter Disc,PlayStation 3 [EU]
454,Pokémon Pearl Version,Nintendo DS [EU]
455,Pokémon Pinball Mini,Pokémon Mini [EU]
456,Pokémon Ranger,Nintendo DS [EU]
457,Pokémon Silberne Edition,Game Boy Color [EU]
458,Pokémon SoulSilver Version (Pokéwalker Accessory Included),Nintendo DS [EU]
459,Portal: Still Alive,Xbox Games Store (X360) [EU]
460,Primal - Collector's Edition,PlayStation 2 [EU]
461,Prince of Persia (box),Xbox 360 [EU]
